   1 BorderlineSMOTE (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1   SVMSMOTE (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   2      Howso ( *                       |                        ), 0.025,  0.026,  0.034,  0.045,  0.057
   3     SDV_GC (    *                    |                        ), 0.095,  0.095,  0.095,  0.095,  0.095
   4    SDV_GAN (    *                    |                        ), 0.091,  0.091,  0.100,  0.111,  0.118
   5         DS (     *                   |                        ), 0.105,  0.105,  0.105,  0.105,  0.105
   6         No (     *                   |                        ), 0.111,  0.111,  0.111,  0.111,  0.111
   7     DAZZLE (    -*-                  |                        ), 0.095,  0.095,  0.111,  0.118,  0.143
   8      SMOTE (       *-------          |                        ), 0.158,  0.158,  0.158,  0.158,  0.320
   9   SMOTUNED (        *---             |                        ), 0.167,  0.167,  0.167,  0.167,  0.242
  10       WGAN (---------*--             |                        ), 0.000,  0.000,  0.200,  0.222,  0.250
  11     Random (            *--          |                        ), 0.258,  0.258,  0.258,  0.258,  0.320
  12         RP (             *--         |                        ), 0.258,  0.267,  0.276,  0.286,  0.333
  13       WFO2 (              -*---      |                        ), 0.250,  0.286,  0.320,  0.364,  0.400
  14     ADASYN (                 *       |                        ), 0.348,  0.348,  0.348,  0.348,  0.348
  15        WFO (                  *      |                        ), 0.364,  0.364,  0.364,  0.364,  0.364
