   1        WFO (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1         No (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1     Random (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1   SMOTUNED (*--                      |                        ), 0.000,  0.000,  0.000,  0.000,  0.067
   1     DAZZLE (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   2       WGAN (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   2         RP (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   2         DS (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   3     SDV_GC (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   3    SDV_GAN (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   4      Howso ( *-                      |                        ), 0.019,  0.022,  0.029,  0.047,  0.062
   5      SMOTE (  *                      |                        ), 0.045,  0.045,  0.045,  0.045,  0.070
   6 BorderlineSMOTE (  *                      |                        ), 0.048,  0.048,  0.048,  0.048,  0.048
   7     ADASYN (  *                      |                        ), 0.058,  0.058,  0.058,  0.058,  0.058
   8       WFO2 (  -*                     |                        ), 0.047,  0.059,  0.061,  0.063,  0.065
   9   SVMSMOTE (    *                    |                        ), 0.089,  0.089,  0.089,  0.089,  0.089
