   1         DS (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   2 BorderlineSMOTE (*                        |                        ), 0.006,  0.006,  0.006,  0.006,  0.008
   3       WFO2 (*                        |                        ), 0.006,  0.008,  0.010,  0.012,  0.014
   3      SMOTE (*                        |                        ), 0.010,  0.010,  0.010,  0.010,  0.012
   4       WGAN (*                        |                        ), 0.008,  0.008,  0.010,  0.020,  0.022
   5     ADASYN (*                        |                        ), 0.012,  0.012,  0.012,  0.012,  0.018
   6   SVMSMOTE (*                        |                        ), 0.012,  0.012,  0.012,  0.012,  0.022
   7     SDV_GC (*                        |                        ), 0.016,  0.016,  0.016,  0.016,  0.016
   8     Random (*                        |                        ), 0.018,  0.018,  0.018,  0.018,  0.020
   9     DAZZLE (*                        |                        ), 0.010,  0.012,  0.020,  0.024,  0.026
   9    SDV_GAN (*                        |                        ), 0.010,  0.012,  0.020,  0.022,  0.030
  10   SMOTUNED ( *                       |                        ), 0.026,  0.026,  0.026,  0.026,  0.041
  10         RP ( *                       |                        ), 0.026,  0.026,  0.026,  0.026,  0.028
  11        WFO ( *                       |                        ), 0.028,  0.028,  0.028,  0.028,  0.028
  12         No ( *                       |                        ), 0.039,  0.039,  0.039,  0.039,  0.039
  13      Howso (           ----*---------|----------------------- ), 0.219,  0.223,  0.318,  0.892,  1.000
