   1         No (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1     DAZZLE (*                        |                        ), 0.000,  0.000,  0.000,  0.002,  0.004
   2       WGAN (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   3         DS (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   4     Random (*                        |                        ), 0.018,  0.018,  0.018,  0.018,  0.018
   5    SDV_GAN (*                        |                        ), 0.014,  0.016,  0.018,  0.020,  0.028
   6        WFO ( *                       |                        ), 0.022,  0.022,  0.022,  0.022,  0.022
   7     SDV_GC ( *                       |                        ), 0.030,  0.030,  0.030,  0.030,  0.030
   8         RP ( *                       |                        ), 0.034,  0.034,  0.034,  0.034,  0.034
   9   SMOTUNED (  *                      |                        ), 0.045,  0.045,  0.045,  0.045,  0.045
  10 BorderlineSMOTE (   *                     |                        ), 0.069,  0.069,  0.069,  0.069,  0.071
  11   SVMSMOTE (   *                     |                        ), 0.073,  0.073,  0.073,  0.073,  0.073
  12      Howso (      --*-               |                        ), 0.122,  0.140,  0.166,  0.193,  0.211
  13       WFO2 (           -*            |                        ), 0.229,  0.233,  0.241,  0.247,  0.256
  14      SMOTE (            *            |                        ), 0.249,  0.249,  0.249,  0.249,  0.249
  15     ADASYN (            *            |                        ), 0.260,  0.260,  0.260,  0.260,  0.260
