   1         No (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1     DAZZLE (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1       WGAN (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1         DS (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   2     Random (*                        |                        ), 0.006,  0.006,  0.006,  0.006,  0.006
   3        WFO (*                        |                        ), 0.008,  0.008,  0.008,  0.008,  0.008
   4         RP (*                        |                        ), 0.008,  0.008,  0.008,  0.008,  0.010
   5     SDV_GC (  *                      |                        ), 0.043,  0.043,  0.043,  0.043,  0.043
   6    SDV_GAN (  *                      |                        ), 0.051,  0.051,  0.053,  0.055,  0.071
   7   SMOTUNED (             *           |                        ), 0.274,  0.274,  0.274,  0.274,  0.286
   8     ADASYN (                 *-      |                        ), 0.357,  0.357,  0.357,  0.357,  0.391
   9      SMOTE (                  *      |                        ), 0.363,  0.363,  0.363,  0.363,  0.383
  10       WFO2 (                  *      |                        ), 0.363,  0.369,  0.377,  0.391,  0.394
  11   SVMSMOTE (                    *    |                        ), 0.408,  0.408,  0.408,  0.408,  0.408
  12 BorderlineSMOTE (                     *   |                        ), 0.422,  0.422,  0.422,  0.422,  0.422
  12      Howso (                    -*---|                        ), 0.379,  0.410,  0.432,  0.479,  0.515
