   1     DAZZLE (        ----*------      |                        ), 0.074,  0.169,  0.245,  0.361,  0.383
   1         DS (           -*--          |                        ), 0.195,  0.228,  0.259,  0.271,  0.314
   2         No (            -*-          |                        ), 0.223,  0.244,  0.271,  0.294,  0.320
   3        WFO (             *           |                        ), 0.273,  0.275,  0.279,  0.280,  0.283
   4       WGAN (            --*--        |                        ), 0.216,  0.255,  0.291,  0.322,  0.348
   5     SDV_GC (              -*-        |                        ), 0.219,  0.284,  0.305,  0.337,  0.349
   5 BorderlineSMOTE (              -*         |                        ), 0.291,  0.296,  0.312,  0.330,  0.338
   6    SDV_GAN (               -*----    |                        ), 0.293,  0.319,  0.327,  0.375,  0.425
   6    DAZZLE2 (          ------*-       |                        ), 0.094,  0.201,  0.327,  0.365,  0.375
   6     ADASYN (                *-       |                        ), 0.308,  0.330,  0.337,  0.349,  0.365
   6    DAZZLE1 (           -------*-     |                        ), 0.214,  0.231,  0.365,  0.394,  0.412
   7      Howso (                    -*-  |                        ), 0.399,  0.405,  0.429,  0.432,  0.466
   8      SMOTE (                    -*-  |                        ), 0.415,  0.420,  0.431,  0.446,  0.469
   8 SDV_FASTML (                  ---*-  |                        ), 0.356,  0.380,  0.433,  0.465,  0.480
   8     Howso2 (                     *   |                        ), 0.419,  0.425,  0.436,  0.450,  0.457
   9   SMOTUNED (                     *-- |                        ), 0.431,  0.433,  0.439,  0.464,  0.487
   9     Howso1 (                     -*  |                        ), 0.409,  0.423,  0.442,  0.449,  0.466
   9     Random (                     -*  |                        ), 0.424,  0.437,  0.445,  0.451,  0.478
  10   SVMSMOTE (                     -*- |                        ), 0.428,  0.435,  0.454,  0.469,  0.493
  11         RP (                        *|                        ), 0.469,  0.487,  0.492,  0.503,  0.533
