   1    DAZZLE1 (   -*                    |                        ), 0.071,  0.074,  0.084,  0.091,  0.110
   1         No (    *                    |                        ), 0.079,  0.083,  0.086,  0.096,  0.100
   1    DAZZLE2 (   -*                    |                        ), 0.074,  0.076,  0.087,  0.095,  0.111
   2         DS (    *                    |                        ), 0.076,  0.082,  0.088,  0.100,  0.108
   2        WFO (   -*                    |                        ), 0.067,  0.078,  0.088,  0.091,  0.092
   3     Random (    *                    |                        ), 0.075,  0.085,  0.090,  0.101,  0.105
   4    SDV_GAN (    *                    |                        ), 0.080,  0.088,  0.091,  0.101,  0.105
   4 SDV_FASTML (    *                    |                        ), 0.087,  0.089,  0.093,  0.104,  0.105
   5     SDV_GC (    *                    |                        ), 0.078,  0.085,  0.093,  0.099,  0.108
   6         RP (    *                    |                        ), 0.088,  0.091,  0.097,  0.104,  0.110
   7     Howso2 (    -*                   |                        ), 0.088,  0.098,  0.105,  0.110,  0.130
   8   SVMSMOTE (     -*                  |                        ), 0.107,  0.110,  0.124,  0.134,  0.142
   9      SMOTE (      *                  |                        ), 0.114,  0.124,  0.130,  0.137,  0.146
   9 BorderlineSMOTE (     -*                  |                        ), 0.108,  0.116,  0.132,  0.138,  0.142
  10     ADASYN (      -*                 |                        ), 0.116,  0.130,  0.142,  0.147,  0.159
  11     Howso1 (        --*              |                        ), 0.180,  0.180,  0.201,  0.231,  0.234
  11      Howso (          *              |                        ), 0.200,  0.204,  0.217,  0.219,  0.233
  11     DAZZLE (    -------*-------------|----------------        ), 0.084,  0.092,  0.233,  0.517,  0.848
  12   SMOTUNED (           -*-           |                        ), 0.224,  0.230,  0.250,  0.271,  0.284
  13       WGAN (            ---------*---|-----------------       ), 0.092,  0.254,  0.430,  0.611,  0.876
