   1       WGAN (*                        |                        ), 0.002,  0.005,  0.006,  0.007,  0.009
   2     DAZZLE (-*-----------------------|                        ), 0.003,  0.007,  0.032,  0.035,  0.503
   3         No ( *                       |                        ), 0.027,  0.029,  0.033,  0.038,  0.043
   3         DS ( *                       |                        ), 0.026,  0.027,  0.033,  0.037,  0.040
   3    SDV_GAN ( *                       |                        ), 0.027,  0.028,  0.033,  0.036,  0.042
   3    DAZZLE1 ( *                       |                        ), 0.023,  0.029,  0.033,  0.041,  0.043
   3     SDV_GC ( *                       |                        ), 0.027,  0.030,  0.034,  0.037,  0.039
   4 SDV_FASTML ( *                       |                        ), 0.029,  0.030,  0.035,  0.040,  0.046
   4    DAZZLE2 ( *                       |                        ), 0.024,  0.029,  0.036,  0.038,  0.042
   5         RP (   -*                    |                        ), 0.071,  0.078,  0.089,  0.098,  0.102
   5     Howso2 (   -*                    |                        ), 0.059,  0.064,  0.094,  0.100,  0.119
   6        WFO (     -*                  |                        ), 0.117,  0.118,  0.127,  0.131,  0.139
   7     Random (      *                  |                        ), 0.116,  0.124,  0.131,  0.141,  0.145
   8   SVMSMOTE (      -*                 |                        ), 0.129,  0.140,  0.150,  0.155,  0.162
   9      SMOTE (       *                 |                        ), 0.140,  0.145,  0.155,  0.167,  0.176
  10     Howso1 (       *--               |                        ), 0.139,  0.148,  0.159,  0.180,  0.204
  11 BorderlineSMOTE (       -*                |                        ), 0.154,  0.158,  0.174,  0.183,  0.187
  12      Howso (        *-               |                        ), 0.163,  0.164,  0.178,  0.197,  0.204
  13   SMOTUNED (        -*               |                        ), 0.176,  0.179,  0.185,  0.204,  0.216
  13     ADASYN (         *               |                        ), 0.175,  0.181,  0.187,  0.202,  0.210
