   1    DAZZLE2 (*                        |                        ), 0.012,  0.013,  0.015,  0.020,  0.024
   1    DAZZLE1 (*                        |                        ), 0.011,  0.012,  0.016,  0.020,  0.024
   2         No (*                        |                        ), 0.014,  0.015,  0.018,  0.021,  0.024
   2         DS (*                        |                        ), 0.014,  0.016,  0.018,  0.021,  0.025
   2    SDV_GAN (*                        |                        ), 0.012,  0.015,  0.019,  0.020,  0.021
   3     DAZZLE (*------------------------|                        ), 0.013,  0.017,  0.020,  0.299,  0.532
   3         RP (*                        |                        ), 0.015,  0.018,  0.020,  0.023,  0.026
   3     SDV_GC (*                        |                        ), 0.013,  0.016,  0.020,  0.022,  0.023
   4 SDV_FASTML (-*                       |                        ), 0.019,  0.019,  0.022,  0.028,  0.033
   5     Howso2 (-*                       |                        ), 0.019,  0.019,  0.023,  0.029,  0.032
   6       WGAN ( -*------                |                        ), 0.006,  0.026,  0.052,  0.101,  0.187
   7   SVMSMOTE (  -*                     |                        ), 0.052,  0.055,  0.061,  0.069,  0.073
   7     Random (  -*                     |                        ), 0.053,  0.059,  0.064,  0.071,  0.081
   7      SMOTE (  -*                     |                        ), 0.050,  0.055,  0.064,  0.067,  0.074
   8     ADASYN (   -*                    |                        ), 0.069,  0.074,  0.085,  0.091,  0.101
   9 BorderlineSMOTE (   -*                    |                        ), 0.070,  0.072,  0.086,  0.093,  0.099
  10      Howso (     -*                  |                        ), 0.115,  0.120,  0.125,  0.145,  0.152
  11     Howso1 (     -*-                 |                        ), 0.102,  0.115,  0.126,  0.129,  0.175
  12        WFO (      *                  |                        ), 0.119,  0.129,  0.136,  0.142,  0.150
  13   SMOTUNED (      -*                 |                        ), 0.130,  0.136,  0.155,  0.167,  0.175
