oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.05,SVM,0.978,0.0,0.0,0.008,0.0,0.496,0.0,0.707
WFO,0.05,KNN,0.964,0.0,0.0,0.022,0.0,0.489,0.0,0.707
WFO,0.05,LR,0.762,0.033,0.571,0.235,0.063,0.668,0.654,0.346
WFO,0.05,DT,0.972,0.267,0.571,0.022,0.364,0.775,0.721,0.303
WFO,0.05,RF,0.988,1.0,0.143,0.0,0.25,0.571,0.25,0.606
WFO,0.05,LightGBM,0.97,0.25,0.571,0.024,0.348,0.774,0.721,0.304
WFO,0.05,Adaboost,0.976,0.222,0.286,0.014,0.25,0.636,0.443,0.505
WFO,0.05,GBDT,0.966,0.222,0.571,0.028,0.32,0.772,0.72,0.304
WFO2,0.11,SVM,0.624,0.016,0.429,0.373,0.031,0.528,0.509,0.483
WFO2,0.11,KNN,0.75,0.032,0.571,0.247,0.06,0.662,0.65,0.35
WFO2,0.11,LR,0.652,0.023,0.571,0.347,0.044,0.612,0.61,0.39
WFO2,0.11,DT,0.968,0.235,0.571,0.026,0.333,0.773,0.72,0.304
WFO2,0.11,RF,0.978,0.3,0.429,0.014,0.353,0.707,0.597,0.404
WFO2,0.11,LightGBM,0.984,0.4,0.286,0.006,0.333,0.64,0.444,0.505
WFO2,0.11,Adaboost,0.966,0.143,0.286,0.024,0.19,0.631,0.442,0.505
WFO2,0.11,GBDT,0.982,0.25,0.143,0.006,0.182,0.568,0.25,0.606
