oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.82,0.727,0.195,0.019,0.308,0.588,0.326,0.569
No,0,KNN,0.845,0.692,0.439,0.05,0.537,0.694,0.6,0.398
No,0,LR,0.845,0.679,0.463,0.057,0.551,0.703,0.622,0.382
No,0,DT,0.775,0.467,0.683,0.201,0.554,0.741,0.736,0.266
No,0,RF,0.87,0.8,0.488,0.031,0.606,0.728,0.649,0.363
No,0,LightGBM,0.875,0.767,0.561,0.044,0.648,0.758,0.707,0.312
No,0,Adaboost,0.84,0.645,0.488,0.069,0.556,0.709,0.64,0.365
No,0,GBDT,0.87,0.692,0.659,0.075,0.675,0.792,0.769,0.247
Random,0.01,SVM,0.775,0.466,0.659,0.195,0.545,0.732,0.724,0.278
Random,0.01,KNN,0.825,0.562,0.659,0.132,0.607,0.763,0.749,0.259
Random,0.01,LR,0.8,0.509,0.659,0.164,0.574,0.748,0.737,0.268
Random,0.01,DT,0.81,0.529,0.659,0.151,0.587,0.754,0.742,0.264
Random,0.01,RF,0.86,0.697,0.561,0.063,0.622,0.749,0.702,0.314
Random,0.01,LightGBM,0.86,0.686,0.585,0.069,0.632,0.758,0.719,0.297
Random,0.01,Adaboost,0.84,0.588,0.732,0.132,0.652,0.8,0.794,0.211
Random,0.01,GBDT,0.865,0.659,0.707,0.094,0.682,0.806,0.794,0.217
SMOTE,0.01,SVM,0.78,0.473,0.634,0.182,0.542,0.726,0.714,0.289
SMOTE,0.01,KNN,0.805,0.519,0.683,0.164,0.589,0.76,0.752,0.252
SMOTE,0.01,LR,0.8,0.51,0.61,0.151,0.556,0.729,0.71,0.296
SMOTE,0.01,DT,0.8,0.511,0.561,0.138,0.535,0.711,0.68,0.325
SMOTE,0.01,RF,0.86,0.686,0.585,0.069,0.632,0.758,0.719,0.297
SMOTE,0.01,LightGBM,0.86,0.676,0.61,0.075,0.641,0.767,0.735,0.281
SMOTE,0.01,Adaboost,0.835,0.583,0.683,0.126,0.629,0.779,0.767,0.241
SMOTE,0.01,GBDT,0.83,0.578,0.634,0.119,0.605,0.757,0.737,0.272
ADASYN,0.01,SVM,0.735,0.419,0.756,0.27,0.539,0.743,0.743,0.258
ADASYN,0.01,KNN,0.805,0.517,0.756,0.182,0.614,0.787,0.786,0.215
ADASYN,0.01,LR,0.77,0.465,0.805,0.239,0.589,0.783,0.782,0.218
ADASYN,0.01,DT,0.755,0.438,0.683,0.226,0.533,0.728,0.725,0.275
ADASYN,0.01,RF,0.845,0.619,0.634,0.101,0.627,0.767,0.744,0.268
ADASYN,0.01,LightGBM,0.88,0.73,0.659,0.063,0.692,0.798,0.774,0.246
ADASYN,0.01,Adaboost,0.81,0.532,0.61,0.138,0.568,0.736,0.714,0.293
ADASYN,0.01,GBDT,0.82,0.553,0.634,0.132,0.591,0.751,0.733,0.275
BorderlineSMOTE,0.01,SVM,0.75,0.433,0.707,0.239,0.537,0.734,0.733,0.267
BorderlineSMOTE,0.01,KNN,0.81,0.527,0.707,0.164,0.604,0.772,0.766,0.237
BorderlineSMOTE,0.01,LR,0.775,0.469,0.732,0.214,0.571,0.759,0.758,0.243
BorderlineSMOTE,0.01,DT,0.77,0.439,0.439,0.145,0.439,0.647,0.58,0.41
BorderlineSMOTE,0.01,RF,0.845,0.632,0.585,0.088,0.608,0.749,0.713,0.3
BorderlineSMOTE,0.01,LightGBM,0.865,0.719,0.561,0.057,0.63,0.752,0.704,0.313
BorderlineSMOTE,0.01,Adaboost,0.805,0.52,0.634,0.151,0.571,0.742,0.726,0.28
BorderlineSMOTE,0.01,GBDT,0.805,0.524,0.537,0.126,0.53,0.705,0.665,0.34
SVMSMOTE,0.03,SVM,0.805,0.521,0.61,0.145,0.562,0.733,0.712,0.294
SVMSMOTE,0.03,KNN,0.81,0.527,0.707,0.164,0.604,0.772,0.766,0.237
SVMSMOTE,0.03,LR,0.81,0.529,0.659,0.151,0.587,0.754,0.742,0.264
SVMSMOTE,0.03,DT,0.795,0.5,0.732,0.189,0.594,0.772,0.769,0.232
SVMSMOTE,0.03,RF,0.855,0.636,0.683,0.101,0.659,0.791,0.776,0.235
SVMSMOTE,0.03,LightGBM,0.88,0.743,0.634,0.057,0.684,0.789,0.758,0.262
SVMSMOTE,0.03,Adaboost,0.845,0.619,0.634,0.101,0.627,0.767,0.744,0.268
SVMSMOTE,0.03,GBDT,0.865,0.646,0.756,0.107,0.697,0.825,0.819,0.188
SMOTUNED,56.22,SVM,0.81,0.531,0.634,0.145,0.578,0.745,0.728,0.278
SMOTUNED,38.57,KNN,0.77,0.456,0.634,0.195,0.531,0.72,0.709,0.293
SMOTUNED,766.75,LR,0.78,0.475,0.683,0.195,0.56,0.744,0.739,0.263
SMOTUNED,58.06,DT,0.82,0.545,0.732,0.157,0.625,0.787,0.783,0.22
SMOTUNED,217.82,RF,0.76,0.452,0.805,0.252,0.579,0.777,0.776,0.225
SMOTUNED,167.25,LightGBM,0.81,0.523,0.829,0.195,0.642,0.817,0.817,0.183
SMOTUNED,454.08,Adaboost,0.775,0.466,0.659,0.195,0.545,0.732,0.724,0.278
SMOTUNED,902.87,GBDT,0.825,0.554,0.756,0.157,0.639,0.799,0.797,0.205
DAZZLE,307.2929790019989,SVM,0.825,0.688,0.268,0.031,0.386,0.618,0.42,0.518
DAZZLE,307.2929790019989,KNN,0.87,0.8,0.488,0.031,0.606,0.728,0.649,0.363
DAZZLE,307.2929790019989,LR,0.82,0.564,0.537,0.107,0.55,0.715,0.67,0.336
DAZZLE,307.2929790019989,DT,0.77,0.451,0.561,0.176,0.5,0.692,0.667,0.334
DAZZLE,307.2929790019989,RF,0.865,0.769,0.488,0.038,0.597,0.725,0.647,0.363
DAZZLE,307.2929790019989,LightGBM,0.86,0.741,0.488,0.044,0.588,0.722,0.646,0.364
DAZZLE,307.2929790019989,Adaboost,0.83,0.6,0.512,0.088,0.553,0.712,0.656,0.351
DAZZLE,307.2929790019989,GBDT,0.85,0.649,0.585,0.082,0.615,0.752,0.715,0.299
WGAN,10.07,SVM,0.795,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,10.07,KNN,0.225,0.206,0.976,0.969,0.34,0.504,0.061,0.685
WGAN,10.07,LR,0.31,0.216,0.902,0.843,0.349,0.53,0.268,0.6
WGAN,10.07,DT,0.465,0.2,0.537,0.553,0.291,0.492,0.487,0.51
WGAN,10.07,RF,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,10.07,LightGBM,0.21,0.206,1.0,0.994,0.342,0.503,0.012,0.703
WGAN,10.07,Adaboost,0.35,0.197,0.707,0.742,0.309,0.483,0.378,0.564
WGAN,10.07,GBDT,0.765,0.125,0.024,0.044,0.041,0.49,0.048,0.691
RP,0.7856876850128174,SVM,0.765,0.453,0.707,0.22,0.552,0.744,0.742,0.259
