oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.86,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,KNN,0.863,0.533,0.19,0.027,0.281,0.582,0.319,0.573
No,0,LR,0.85,0.412,0.167,0.039,0.237,0.564,0.284,0.59
No,0,DT,0.793,0.308,0.381,0.14,0.34,0.621,0.528,0.449
No,0,RF,0.87,0.636,0.167,0.016,0.264,0.576,0.285,0.589
No,0,LightGBM,0.873,0.611,0.262,0.027,0.367,0.617,0.413,0.522
No,0,Adaboost,0.843,0.407,0.262,0.062,0.319,0.6,0.409,0.524
No,0,GBDT,0.823,0.323,0.238,0.081,0.274,0.578,0.378,0.542
Random,0.01,SVM,0.79,0.343,0.548,0.171,0.422,0.689,0.66,0.342
Random,0.01,KNN,0.8,0.345,0.476,0.147,0.4,0.664,0.611,0.385
Random,0.01,LR,0.74,0.295,0.619,0.24,0.4,0.689,0.682,0.318
Random,0.01,DT,0.797,0.268,0.262,0.116,0.265,0.573,0.404,0.528
Random,0.01,RF,0.887,0.7,0.333,0.023,0.452,0.655,0.497,0.472
Random,0.01,LightGBM,0.857,0.48,0.286,0.05,0.358,0.618,0.439,0.506
Random,0.01,Adaboost,0.76,0.279,0.452,0.19,0.345,0.631,0.581,0.41
Random,0.01,GBDT,0.83,0.39,0.381,0.097,0.386,0.642,0.536,0.443
SMOTE,0.01,SVM,0.817,0.386,0.524,0.136,0.444,0.694,0.652,0.35
SMOTE,0.01,KNN,0.747,0.27,0.476,0.209,0.345,0.633,0.594,0.399
SMOTE,0.01,LR,0.77,0.32,0.571,0.198,0.41,0.687,0.667,0.334
SMOTE,0.01,DT,0.787,0.304,0.405,0.151,0.347,0.627,0.548,0.434
SMOTE,0.01,RF,0.877,0.576,0.452,0.054,0.507,0.699,0.612,0.389
SMOTE,0.01,LightGBM,0.853,0.464,0.31,0.058,0.371,0.626,0.466,0.49
SMOTE,0.01,Adaboost,0.853,0.477,0.5,0.089,0.488,0.705,0.646,0.359
SMOTE,0.01,GBDT,0.83,0.385,0.357,0.093,0.37,0.632,0.512,0.459
ADASYN,0.01,SVM,0.807,0.371,0.548,0.151,0.442,0.698,0.666,0.337
ADASYN,0.01,KNN,0.753,0.314,0.643,0.229,0.422,0.707,0.701,0.3
ADASYN,0.01,LR,0.747,0.311,0.667,0.24,0.424,0.713,0.71,0.291
ADASYN,0.01,DT,0.763,0.254,0.357,0.171,0.297,0.593,0.499,0.47
ADASYN,0.01,RF,0.873,0.567,0.405,0.05,0.472,0.677,0.568,0.422
ADASYN,0.01,LightGBM,0.87,0.56,0.333,0.043,0.418,0.645,0.494,0.472
ADASYN,0.01,Adaboost,0.807,0.34,0.405,0.128,0.37,0.638,0.553,0.431
ADASYN,0.01,GBDT,0.847,0.45,0.429,0.085,0.439,0.672,0.584,0.409
BorderlineSMOTE,0.01,SVM,0.807,0.362,0.5,0.143,0.42,0.678,0.631,0.368
BorderlineSMOTE,0.01,KNN,0.773,0.319,0.548,0.19,0.404,0.679,0.653,0.347
BorderlineSMOTE,0.01,LR,0.757,0.309,0.595,0.217,0.407,0.689,0.676,0.325
BorderlineSMOTE,0.01,DT,0.81,0.333,0.357,0.116,0.345,0.62,0.509,0.462
BorderlineSMOTE,0.01,RF,0.863,0.514,0.429,0.066,0.468,0.681,0.588,0.407
BorderlineSMOTE,0.01,LightGBM,0.87,0.548,0.405,0.054,0.466,0.675,0.567,0.423
BorderlineSMOTE,0.01,Adaboost,0.823,0.392,0.476,0.12,0.43,0.678,0.618,0.38
BorderlineSMOTE,0.01,GBDT,0.837,0.422,0.452,0.101,0.437,0.676,0.602,0.394
SVMSMOTE,0.05,SVM,0.847,0.458,0.524,0.101,0.489,0.712,0.662,0.344
SVMSMOTE,0.05,KNN,0.77,0.271,0.381,0.167,0.317,0.607,0.523,0.453
SVMSMOTE,0.05,LR,0.81,0.381,0.571,0.151,0.457,0.71,0.683,0.321
SVMSMOTE,0.05,DT,0.753,0.25,0.381,0.186,0.302,0.597,0.519,0.457
SVMSMOTE,0.05,RF,0.863,0.514,0.452,0.07,0.481,0.691,0.609,0.39
SVMSMOTE,0.05,LightGBM,0.87,0.556,0.357,0.047,0.435,0.655,0.52,0.456
SVMSMOTE,0.05,Adaboost,0.823,0.404,0.548,0.132,0.465,0.708,0.672,0.333
SVMSMOTE,0.05,GBDT,0.813,0.354,0.405,0.12,0.378,0.642,0.554,0.429
SMOTUNED,59.15,SVM,0.747,0.311,0.667,0.24,0.424,0.713,0.71,0.291
SMOTUNED,39.03,KNN,0.793,0.344,0.524,0.163,0.415,0.681,0.644,0.356
SMOTUNED,1179.54,LR,0.74,0.295,0.619,0.24,0.4,0.689,0.682,0.318
SMOTUNED,59.29,DT,0.743,0.273,0.5,0.217,0.353,0.641,0.61,0.385
SMOTUNED,225.08,RF,0.77,0.329,0.619,0.205,0.43,0.707,0.696,0.306
SMOTUNED,169.09,LightGBM,0.717,0.283,0.667,0.275,0.397,0.696,0.695,0.306
SMOTUNED,407.39,Adaboost,0.753,0.305,0.595,0.221,0.403,0.687,0.675,0.326
SMOTUNED,791.44,GBDT,0.76,0.321,0.643,0.221,0.429,0.711,0.704,0.297
DAZZLE,429.0644705295563,SVM,0.85,0.286,0.048,0.019,0.082,0.514,0.091,0.674
DAZZLE,429.0644705295563,KNN,0.863,0.533,0.19,0.027,0.281,0.582,0.319,0.573
