oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.861,0.0,0.0,0.009,0.0,0.495,0.0,0.707
No,0,KNN,0.842,0.344,0.224,0.065,0.272,0.58,0.362,0.55
No,0,LR,0.863,0.375,0.061,0.015,0.105,0.523,0.115,0.664
No,0,DT,0.818,0.327,0.367,0.114,0.346,0.627,0.519,0.455
No,0,RF,0.871,0.533,0.163,0.022,0.25,0.571,0.28,0.592
No,0,LightGBM,0.863,0.429,0.122,0.025,0.19,0.549,0.218,0.621
No,0,Adaboost,0.861,0.421,0.163,0.034,0.235,0.565,0.279,0.592
No,0,GBDT,0.85,0.419,0.367,0.077,0.391,0.645,0.526,0.451
Random,0.01,SVM,0.756,0.286,0.571,0.216,0.381,0.678,0.661,0.339
Random,0.01,KNN,0.769,0.272,0.449,0.182,0.338,0.633,0.58,0.41
Random,0.01,LR,0.727,0.261,0.592,0.253,0.362,0.669,0.66,0.34
Random,0.01,DT,0.818,0.279,0.245,0.096,0.261,0.575,0.385,0.538
Random,0.01,RF,0.869,0.5,0.204,0.031,0.29,0.587,0.337,0.563
Random,0.01,LightGBM,0.869,0.5,0.265,0.04,0.347,0.613,0.416,0.52
Random,0.01,Adaboost,0.751,0.256,0.469,0.207,0.331,0.631,0.59,0.403
Random,0.01,GBDT,0.823,0.34,0.367,0.108,0.353,0.63,0.52,0.454
SMOTE,0.01,SVM,0.791,0.296,0.429,0.154,0.35,0.637,0.569,0.419
SMOTE,0.01,KNN,0.788,0.326,0.571,0.179,0.415,0.696,0.674,0.328
SMOTE,0.01,LR,0.716,0.252,0.592,0.265,0.354,0.663,0.656,0.344
SMOTE,0.01,DT,0.82,0.364,0.49,0.13,0.417,0.68,0.627,0.372
SMOTE,0.01,RF,0.874,0.526,0.408,0.056,0.46,0.676,0.57,0.42
SMOTE,0.01,LightGBM,0.871,0.516,0.327,0.046,0.4,0.64,0.486,0.477
SMOTE,0.01,Adaboost,0.842,0.396,0.388,0.09,0.392,0.649,0.544,0.438
SMOTE,0.01,GBDT,0.863,0.478,0.449,0.074,0.463,0.687,0.605,0.393
ADASYN,0.03,SVM,0.764,0.259,0.429,0.185,0.323,0.622,0.562,0.425
ADASYN,0.03,KNN,0.761,0.292,0.571,0.21,0.386,0.681,0.663,0.337
ADASYN,0.03,LR,0.702,0.237,0.571,0.278,0.335,0.647,0.638,0.361
ADASYN,0.03,DT,0.788,0.279,0.388,0.151,0.325,0.618,0.532,0.446
ADASYN,0.03,RF,0.879,0.562,0.367,0.043,0.444,0.662,0.531,0.448
ADASYN,0.03,LightGBM,0.871,0.517,0.306,0.043,0.385,0.631,0.464,0.492
ADASYN,0.03,Adaboost,0.871,0.514,0.367,0.052,0.429,0.657,0.529,0.449
ADASYN,0.03,GBDT,0.863,0.469,0.306,0.052,0.37,0.627,0.463,0.492
BorderlineSMOTE,0.02,SVM,0.791,0.301,0.449,0.157,0.361,0.646,0.586,0.405
BorderlineSMOTE,0.02,KNN,0.78,0.306,0.531,0.182,0.388,0.674,0.644,0.356
BorderlineSMOTE,0.02,LR,0.727,0.257,0.571,0.25,0.354,0.661,0.649,0.351
BorderlineSMOTE,0.02,DT,0.831,0.354,0.347,0.096,0.351,0.626,0.501,0.467
BorderlineSMOTE,0.02,RF,0.874,0.533,0.327,0.043,0.405,0.642,0.487,0.477
BorderlineSMOTE,0.02,LightGBM,0.882,0.6,0.306,0.031,0.405,0.638,0.465,0.491
BorderlineSMOTE,0.02,Adaboost,0.839,0.396,0.429,0.099,0.412,0.665,0.581,0.41
BorderlineSMOTE,0.02,GBDT,0.836,0.37,0.347,0.09,0.358,0.629,0.502,0.466
SVMSMOTE,0.07,SVM,0.839,0.383,0.367,0.09,0.375,0.639,0.523,0.452
SVMSMOTE,0.07,KNN,0.786,0.275,0.388,0.154,0.322,0.617,0.532,0.446
SVMSMOTE,0.07,LR,0.815,0.344,0.449,0.13,0.389,0.66,0.592,0.4
SVMSMOTE,0.07,DT,0.818,0.339,0.408,0.12,0.37,0.644,0.558,0.427
SVMSMOTE,0.07,RF,0.877,0.552,0.327,0.04,0.41,0.643,0.487,0.477
SVMSMOTE,0.07,LightGBM,0.869,0.5,0.286,0.043,0.364,0.621,0.44,0.506
SVMSMOTE,0.07,Adaboost,0.842,0.386,0.347,0.083,0.366,0.632,0.503,0.466
SVMSMOTE,0.07,GBDT,0.861,0.457,0.327,0.059,0.381,0.634,0.485,0.478
SMOTUNED,71.6,SVM,0.756,0.298,0.633,0.225,0.405,0.704,0.697,0.305
SMOTUNED,46.58,KNN,0.689,0.214,0.51,0.284,0.301,0.613,0.596,0.4
SMOTUNED,1238.04,LR,0.748,0.297,0.673,0.241,0.413,0.716,0.714,0.287
SMOTUNED,55.01,DT,0.649,0.203,0.571,0.34,0.299,0.616,0.613,0.387
SMOTUNED,212.81,RF,0.767,0.306,0.612,0.21,0.408,0.701,0.69,0.312
SMOTUNED,169.84,LightGBM,0.743,0.284,0.633,0.241,0.392,0.696,0.69,0.311
SMOTUNED,369.17,Adaboost,0.772,0.286,0.49,0.185,0.361,0.652,0.612,0.384
SMOTUNED,672.04,GBDT,0.716,0.248,0.571,0.262,0.346,0.655,0.644,0.355
DAZZLE,737.5609998703003,SVM,0.879,0.6,0.245,0.025,0.348,0.61,0.391,0.534
DAZZLE,737.5609998703003,KNN,0.855,0.391,0.184,0.043,0.25,0.57,0.308,0.578
DAZZLE,737.5609998703003,LR,0.834,0.356,0.327,0.09,0.34,0.619,0.481,0.48
DAZZLE,737.5609998703003,DT,0.81,0.288,0.306,0.114,0.297,0.596,0.455,0.497
DAZZLE,737.5609998703003,RF,0.879,0.625,0.204,0.019,0.308,0.593,0.338,0.563
DAZZLE,737.5609998703003,LightGBM,0.874,0.556,0.204,0.025,0.299,0.59,0.338,0.563
DAZZLE,737.5609998703003,Adaboost,0.861,0.435,0.204,0.04,0.278,0.582,0.337,0.564
DAZZLE,737.5609998703003,GBDT,0.847,0.405,0.347,0.077,0.374,0.635,0.504,0.465
