oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.904,0.941,0.354,0.004,0.514,0.675,0.522,0.457
No,0,KNN,0.892,0.698,0.448,0.033,0.545,0.707,0.612,0.391
No,0,LR,0.867,0.675,0.149,0.012,0.244,0.569,0.259,0.602
No,0,DT,0.865,0.53,0.541,0.081,0.536,0.73,0.681,0.329
No,0,RF,0.908,0.804,0.475,0.02,0.597,0.728,0.64,0.371
No,0,LightGBM,0.915,0.843,0.503,0.016,0.63,0.743,0.666,0.352
No,0,Adaboost,0.913,0.846,0.486,0.015,0.618,0.736,0.651,0.363
No,0,GBDT,0.912,0.814,0.508,0.02,0.626,0.744,0.669,0.348
Random,0.01,SVM,0.879,0.584,0.558,0.067,0.571,0.745,0.698,0.316
Random,0.01,KNN,0.833,0.443,0.602,0.128,0.511,0.737,0.713,0.295
Random,0.01,LR,0.776,0.336,0.564,0.188,0.421,0.688,0.665,0.336
Random,0.01,DT,0.873,0.568,0.508,0.065,0.536,0.722,0.659,0.351
Random,0.01,RF,0.903,0.736,0.508,0.031,0.601,0.739,0.667,0.348
Random,0.01,LightGBM,0.886,0.612,0.575,0.061,0.593,0.757,0.713,0.304
Random,0.01,Adaboost,0.846,0.474,0.608,0.114,0.533,0.747,0.721,0.289
Random,0.01,GBDT,0.857,0.505,0.514,0.085,0.51,0.715,0.658,0.349
SMOTE,0.02,SVM,0.84,0.457,0.586,0.117,0.513,0.734,0.704,0.305
SMOTE,0.02,KNN,0.808,0.388,0.575,0.153,0.463,0.711,0.685,0.32
SMOTE,0.02,LR,0.765,0.325,0.586,0.205,0.418,0.69,0.675,0.327
SMOTE,0.02,DT,0.826,0.423,0.564,0.129,0.483,0.717,0.684,0.322
SMOTE,0.02,RF,0.884,0.605,0.558,0.061,0.58,0.748,0.7,0.316
SMOTE,0.02,LightGBM,0.901,0.684,0.586,0.046,0.631,0.77,0.726,0.295
SMOTE,0.02,Adaboost,0.861,0.516,0.619,0.098,0.563,0.761,0.734,0.278
SMOTE,0.02,GBDT,0.878,0.58,0.564,0.069,0.571,0.747,0.702,0.312
ADASYN,0.03,SVM,0.669,0.258,0.691,0.334,0.376,0.678,0.678,0.322
ADASYN,0.03,KNN,0.795,0.372,0.608,0.173,0.461,0.717,0.701,0.303
ADASYN,0.03,LR,0.676,0.239,0.569,0.305,0.337,0.632,0.626,0.373
ADASYN,0.03,DT,0.822,0.412,0.552,0.133,0.472,0.71,0.675,0.33
ADASYN,0.03,RF,0.869,0.542,0.575,0.082,0.558,0.746,0.707,0.306
ADASYN,0.03,LightGBM,0.886,0.602,0.619,0.069,0.61,0.775,0.743,0.274
ADASYN,0.03,Adaboost,0.797,0.382,0.663,0.181,0.485,0.741,0.733,0.27
ADASYN,0.03,GBDT,0.87,0.547,0.58,0.081,0.563,0.75,0.711,0.302
BorderlineSMOTE,0.03,SVM,0.739,0.295,0.586,0.236,0.393,0.675,0.663,0.337
BorderlineSMOTE,0.03,KNN,0.806,0.387,0.586,0.156,0.466,0.715,0.691,0.313
BorderlineSMOTE,0.03,LR,0.716,0.231,0.414,0.233,0.296,0.591,0.538,0.446
