oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,KNN,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,LR,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
No,0,DT,0.981,0.0,0.0,0.007,0.0,0.496,0.0,0.707
No,0,RF,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,LightGBM,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
No,0,Adaboost,0.978,0.0,0.0,0.01,0.0,0.495,0.0,0.707
No,0,GBDT,0.968,0.1,0.2,0.022,0.133,0.589,0.332,0.566
Random,0.0,SVM,0.835,0.015,0.2,0.157,0.029,0.521,0.323,0.577
Random,0.0,KNN,0.959,0.0,0.0,0.029,0.0,0.485,0.0,0.707
Random,0.0,LR,0.789,0.023,0.4,0.206,0.044,0.597,0.532,0.449
Random,0.0,DT,0.966,0.0,0.0,0.022,0.0,0.489,0.0,0.707
Random,0.0,RF,0.983,0.0,0.0,0.005,0.0,0.498,0.0,0.707
Random,0.0,LightGBM,0.983,0.0,0.0,0.005,0.0,0.498,0.0,0.707
Random,0.0,Adaboost,0.954,0.0,0.0,0.034,0.0,0.483,0.0,0.708
Random,0.0,GBDT,0.981,0.0,0.0,0.007,0.0,0.496,0.0,0.707
SMOTE,0.0,SVM,0.833,0.015,0.2,0.16,0.028,0.52,0.323,0.577
SMOTE,0.0,KNN,0.903,0.0,0.0,0.086,0.0,0.457,0.0,0.71
SMOTE,0.0,LR,0.794,0.024,0.4,0.201,0.045,0.599,0.533,0.448
SMOTE,0.0,DT,0.944,0.0,0.0,0.044,0.0,0.478,0.0,0.708
SMOTE,0.0,RF,0.956,0.0,0.0,0.032,0.0,0.484,0.0,0.707
SMOTE,0.0,LightGBM,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
SMOTE,0.0,Adaboost,0.947,0.053,0.2,0.044,0.083,0.578,0.331,0.567
